filePath;Package Name;Class Name;TLOC;TASSERT;TCM;Seuil dépassé?
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\category\StatisticalBarRendererTest.java;org.jfree.chart.renderer.category;StatisticalBarRendererTest;256;25;10,24;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\StackedXYAreaRendererTest.java;org.jfree.chart.renderer.xy;StackedXYAreaRendererTest;201;17;11,82;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\WindItemRendererTest.java;org.jfree.chart.renderer.xy;WindItemRendererTest;94;8;11,75;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYAreaRenderer2Test.java;org.jfree.chart.renderer.xy;XYAreaRenderer2Test;178;17;10,47;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYBubbleRendererTest.java;org.jfree.chart.renderer.xy;XYBubbleRendererTest;147;13;11,31;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy\XYStepRendererTest.java;org.jfree.chart.renderer.xy;XYStepRendererTest;173;14;12,36;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\ScatterPlotTest.java;org.jfree.chart;ScatterPlotTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\StackedAreaChartTest.java;org.jfree.chart;StackedAreaChartTest;159;6;26,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\StackedBarChartTest.java;org.jfree.chart;StackedBarChartTest;161;6;26,83;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\swing\ChartPanelTest.java;org.jfree.chart.swing;ChartPanelTest;326;23;14,17;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\swing\CrosshairOverlayTest.java;org.jfree.chart.swing;CrosshairOverlayTest;87;6;14,50;true
