filePath;Package Name;Class Name;TLOC;TASSERT;TCM
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java;org.jfree.chart.axis;StandardTickUnitSourceTest;63;4;15,75
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java;org.jfree.chart.axis;SubCategoryAxisTest;133;15;8,87
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\SymbolAxisTest.java;org.jfree.chart.axis;SymbolAxisTest;97;16;6,06
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\TickUnitsTest.java;org.jfree.chart.axis;TickUnitsTest;80;6;13,33
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\axis\ValueAxisTest.java;org.jfree.chart.axis;ValueAxisTest;191;39;4,90
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\BarChartTest.java;org.jfree.chart;BarChartTest;162;6;27,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\AbstractBlockTest.java;org.jfree.chart.block;AbstractBlockTest;125;27;4,63
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\BlockBorderTest.java;org.jfree.chart.block;BlockBorderTest;91;8;11,38
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\BlockContainerTest.java;org.jfree.chart.block;BlockContainerTest;85;10;8,50
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\BorderArrangementTest.java;org.jfree.chart.block;BorderArrangementTest;581;154;3,77
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\ColorBlockTest.java;org.jfree.chart.block;ColorBlockTest;105;15;7,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\ColumnArrangementTest.java;org.jfree.chart.block;ColumnArrangementTest;100;12;8,33
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\EmptyBlockTest.java;org.jfree.chart.block;EmptyBlockTest;89;11;8,09
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\FlowArrangementTest.java;org.jfree.chart.block;FlowArrangementTest;100;12;8,33
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\GridArrangementTest.java;org.jfree.chart.block;GridArrangementTest;268;38;7,05
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\LabelBlockTest.java;org.jfree.chart.block;LabelBlockTest;120;20;6,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\LineBorderTest.java;org.jfree.chart.block;LineBorderTest;97;10;9,70
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\block\RectangleConstraintTest.java;org.jfree.chart.block;RectangleConstraintTest;109;19;5,74
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\ChartRenderingInfoTest.java;org.jfree.chart;ChartRenderingInfoTest;116;16;7,25
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\CategoryItemEntityTest.java;org.jfree.chart.entity;CategoryItemEntityTest;111;11;10,09
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\CategoryLabelEntityTest.java;org.jfree.chart.entity;CategoryLabelEntityTest;97;13;7,46
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\FlowEntityTest.java;org.jfree.chart.entity;FlowEntityTest;94;14;6,71
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\LegendItemEntityTest.java;org.jfree.chart.entity;LegendItemEntityTest;100;15;6,67
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\PieSectionEntityTest.java;org.jfree.chart.entity;PieSectionEntityTest;112;19;5,89
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\StandardEntityCollectionTest.java;org.jfree.chart.entity;StandardEntityCollectionTest;99;9;11,00
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\TickLabelEntityTest.java;org.jfree.chart.entity;TickLabelEntityTest;91;11;8,27
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\entity\XYItemEntityTest.java;org.jfree.chart.entity;XYItemEntityTest;104;15;6,93
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\GanttChartTest.java;org.jfree.chart;GanttChartTest;263;4;65,75
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;DynamicDriveToolTipTagFragmentGeneratorTest;61;3;20,33
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\imagemap\ImageMapUtilsTest.java;org.jfree.chart.imagemap;ImageMapUtilsTest;107;19;5,63
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;OverLIBToolTipTagFragmentGeneratorTest;61;3;20,33
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;StandardToolTipTagFragmentGeneratorTest;59;3;19,67
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\jfreechart-master\src\test\java\org\jfree\chart\imagemap\StandardURLTagFragmentGeneratorTest.java;org.jfree.chart.imagemap;StandardURLTagFragmentGeneratorTest;60;4;15,00
